poste 01; -27.6594603999238, -48.699240275151034
poste 02; -27.65942120761788, -48.699602010469185
poste 03; -27.659382015296377, -48.700021269466035
poste 04; -27.659346742194973, -48.700345393166934
poste 05; -27.65930559022924, -48.700762439716044
poste 06; -27.659270317104404, -48.70108213852094
poste 07; -27.659231796350753, -48.70147947750159
poste 08; -27.65918966453256, -48.70188546179813
poste 09; -27.65914949231848, -48.70230140211723
poste 10; -27.6591063806582, -48.702660924999286
poste 11; -27.659066208413993, -48.702999429619396
